filename, language, JavaScript, CSS, XML, comment, blank, total
c:\Users\Gebruiker\OneDrive - Vrije Universiteit Brussel\Web\GoOut\frontend\src\App.js, JavaScript, 39, 0, 0, 1, 5, 45
c:\Users\Gebruiker\OneDrive - Vrije Universiteit Brussel\Web\GoOut\frontend\src\App.test.js, JavaScript, 8, 0, 0, 0, 2, 10
c:\Users\Gebruiker\OneDrive - Vrije Universiteit Brussel\Web\GoOut\frontend\src\components\Account\Account.css, CSS, 0, 113, 0, 6, 18, 137
c:\Users\Gebruiker\OneDrive - Vrije Universiteit Brussel\Web\GoOut\frontend\src\components\Account\Account.js, JavaScript, 152, 0, 0, 3, 16, 171
c:\Users\Gebruiker\OneDrive - Vrije Universiteit Brussel\Web\GoOut\frontend\src\components\DetailedEventInfo\DetailedEventInfo.css, CSS, 0, 112, 0, 5, 24, 141
c:\Users\Gebruiker\OneDrive - Vrije Universiteit Brussel\Web\GoOut\frontend\src\components\DetailedEventInfo\DetailedEventInfo.js, JavaScript, 86, 0, 0, 0, 4, 90
c:\Users\Gebruiker\OneDrive - Vrije Universiteit Brussel\Web\GoOut\frontend\src\components\EventInfo\EventInfo.css, CSS, 0, 135, 0, 6, 24, 165
c:\Users\Gebruiker\OneDrive - Vrije Universiteit Brussel\Web\GoOut\frontend\src\components\EventInfo\EventInfo.js, JavaScript, 90, 0, 0, 0, 4, 94
c:\Users\Gebruiker\OneDrive - Vrije Universiteit Brussel\Web\GoOut\frontend\src\components\Followers\Followers.css, CSS, 0, 26, 0, 0, 4, 30
c:\Users\Gebruiker\OneDrive - Vrije Universiteit Brussel\Web\GoOut\frontend\src\components\Followers\Followers.js, JavaScript, 19, 0, 0, 0, 3, 22
c:\Users\Gebruiker\OneDrive - Vrije Universiteit Brussel\Web\GoOut\frontend\src\components\Login\Login.css, CSS, 0, 80, 0, 4, 12, 96
c:\Users\Gebruiker\OneDrive - Vrije Universiteit Brussel\Web\GoOut\frontend\src\components\Login\Login.js, JavaScript, 91, 0, 0, 3, 15, 109
c:\Users\Gebruiker\OneDrive - Vrije Universiteit Brussel\Web\GoOut\frontend\src\components\Menu\Menu.css, CSS, 0, 125, 0, 2, 19, 146
c:\Users\Gebruiker\OneDrive - Vrije Universiteit Brussel\Web\GoOut\frontend\src\components\Menu\Menu.js, JavaScript, 91, 0, 0, 1, 6, 98
c:\Users\Gebruiker\OneDrive - Vrije Universiteit Brussel\Web\GoOut\frontend\src\components\MyEventsInstance\MyEventInstance.css, CSS, 0, 64, 0, 2, 12, 78
